word1	word2	SimLex999	POS
accepteren	aanbevelen	2.42	V
vertrekken	zwerven	2.52	V
houden	geven	1.72	V
geven	toestaan	3.28	V
brengen	sturen	2.19	V
opnemen	leren	4.69	V
verwerven	vinden	2.70	V
vertrekken	verschijnen	1.27	V
creëren	vernietigen	1.44	V
beginnen	gaan	2.19	V
krijgen	kopen	2.12	V
verzamelen	opslaan	4.75	V
vervangen	herstellen	3.87	V
samenvoegen	toevoegen	3.43	V
samenvoegen	trouwen	2.74	V
accepteren	bezorgen	1.41	V
bijvoegen	samenvoegen	6.56	V
plaatsen	ophangen	3.91	V
gaan	binnenkomen	2.11	V
communiceren	bidden	1.69	V
geven	stelen	1.19	V
toevoegen	bouwen	2.42	V
brengen	herstellen	2.03	V
begrijpen	voldoen	2.38	V
belichamen	beslissen	1.15	V
organiseren	worden	1.34	V
geven	weten	1.05	V
zeggen	verifiëren	1.85	V
samenwerken	aansluiten bij	3.77	V
regelen	vereisen	2.13	V
lenen	willen	2.53	V
onderzoeken	streven	1.81	V
negeren	verkennen	1.89	V
brengen	klagen	1.51	V
binnentreden	verschuldigd zijn	1.07	V
belichamen	melden	1.44	V
herinneren	verkopen	1.41	V
opnemen	bezitten	1.57	V
samenvoegen	verwerven	3.89	V
sturen	bijwonen	1.85	V
verzamelen	bijwonen	1.06	V
opnemen	intrekken	2.29	V
bijwonen	aankomen	1.32	V
