,text
191,"Thomas the Tank Engine is double trouble. bunker coal falls on his head. then they had to clean him up. after that the breakdown train gets fire. after that James is falling into mud. and then after that, that's the end."
192,it's about a ninja. and then they fight. and then they get pizza. then they fight. then after that that's the end.
193,my whistle. I make a whistle screech.
194,"it's about Ninjas. they fight with Superman, Batman and Roc Steady. they go to the sewer. and they eat pizza. and they fight again."
195,Super Shredder fights with ninjas. and then they do it again. and they fight again. the end.
196,about Super Shredder. they attack. and then they fight him. they're the Ninjas.
197,there was Super Shredder. they fight with the ninjas. and they eat pizza. and that's the end.
198,Captain Hook fights with Peter Pan. and there was a crocodile. Captain Hook killed the crocodile.
199,Super Shredder. he fights with the ninja turtles. and they eat pizza. then that's the end.
200,"it's an engine one, that's about Henry and Gordon. Henry gets stuck in a tunnel. and that's the end."
201,Ninja turtles. they fight. they eat pizza. then they go to the swing. then they fight. then they go to the battlefield. then they crush down rocks. then they eat pizza again. that's the end.
202,It's about Ninja turtles. and then they fight. and they eat pizza. and that's the end.
203,it's about Ninja turtles. they eat pizza. then they fight with Bebop and Roc Steady. and then they go to the battlefield. and that's the end.
204,it's about ninja turtles. then they fight with Bebop and Roc Steady. then they go to the battlefield. now they're going to do something. and that's the end.
205,it's about pirates. they fight. and that's the end.
206,there is a walking table. there was a gun. the hunter had the gun. the walking table died. the hunter ate him. then the hunter shot the trees. the end.
207,Fusspot and Shredder fight. when they are all done they have supper. then they see mommy and daddy.
208,Ninja Turtles and Shredder. they fight with Shredder. and the Ninjas die. the bad guys put firecrackers in Splinter's mouth. the bad guys eat pizza. that's the end.
209,Spiderman kicks the Joker. then the Joker dies. then there's Batman. then Superman comes. then they eat pizza. then Superman kicks the Joker down. then Batman dies. then the Joker fights with the Penguin. and the Penguin dies. and there's Shredder. he gets guns. he shoots the Joker. the end.
210,Shredder comes and Rock Steady. they shoot at the ninjas because they want to eat them. Shredder eats Donatello and Rock Steady eats Raphael. Slash comes. and eats Michelangelo.
211,"once there was ninja turtles. there was Super Shredder and regular Shredder. then Rock Steady came too. and then they shoot the ninja turtles. and then they die, the ninja turtles die. and then they eat them. and then that's the end."
212,once there were ninja turtles. then Shredder came. and then Rock Steady came. and then Super Shredder came. and then they shoot the ninjas dead.
213,"Ninja Turtles. Shredder came. Shredder died. he came back alive. and he turned into Super Shredder. he drank ninja turtle ooze. he said "". shoot the ninja turtles, Rock Steady. Rock Steady did. the ninja turtles died. Shredder and Rock Steady eat them."
214,there were ninja turtles. and then Shredder beats them up. there are five fights. and then there is a tiger. then Michelangelo comes. and the tiger eats him up. then a lion comes. and he eats the other Michelangelo. and another tiger comes. and he eats Raphael. and then another tiger comes. and eats Leonardo.
215,"Ninja turtles. then Shredder comes. then Super Shredder comes. then Donatello comes. Michelangelo comes. then Raphael, then Splinter, then Crang comes. then the bad guys eat the turtles. then a dragon comes."
216,"my story is about ninja turtles. then bad guys come. then Rock Steady comes. and Crane comes. Pizza Face, he's a mean guy. then Batman comes. then Shredder comes. then they eat pizza. then the ninja turtles die. then there's eleven fights. then a tiger comes. and then a lion comes. and the ninja turtles come back to life. and the bad guys pour poison on them. then another lion comes. then there's Rock-and-Roll Michelangelo. then Splinter. then the bad guys come again. the end."
217,Ninja Turtles. once there was a python. then a Foot Soldier came with his B-B Guns. then another python came. then another Foot Soldier came. then a Bad Guy came. then a Devil came. then the hideous monsters came. then they have eleven birthdays. then somebody came with a B-B Gun. the end. then there's another end.
218,Ninja Turtles. then Shredder came. then another Shredder came. then another Shredder came. then another Shredder came. then a lion came. then a python came. then another python came. then another python came. then another one and another one ... then another python came. then the pythons died. then another python came. and he died too. then another python came. then another python came. then another python came. and he died too. then another python came. and he died too. then a tiger came. then Captain Hook came. then another Captain Hook came. then Peter Pan came. then that's the end.
219,"once there was a family. then the family went out. and a robber came. and stole all of the family's things. then a bad guy came. and kicked him. then Count Dracula setted. then the robber went back to his house. the Wolfman came. and he set up a trap. another Count Dracula setted another trap. then Count Dracula tried to spook out all of the spooks. then a bad guy came. and he blowed off the family's head. then Count Dracula went back up to his castle with his bats. then Spiderman came. and trapped all of the bad guys and Count Dracula in his webs. then General Trag came. and killed them again. then all of the bad guys escaped. and then all the bad guys killed all the good guys. then another Spiderman came. and trapped all the bad guys except two, Count Dracula and his bats and Wolfman. and then there's a birthday party for all the characters. Count Dracula and the bats and Wolfman had blood juice. the end."
220,Captain Hook fights. Peter Pan comes with a sword. then the bad guys came.
221,Robin and the bad guys had swords and guns and stuff like that in the water. that killed the ducks. and they died. Robin punched the bad guys in the face. and the bad guys died.
222,Peter Pan. Captain Hook. and knights with guns. one got crushed onto the water. and crushed onto spiders. and a knight crushed onto the chair. not all of them crushed onto the chair. one fighted.
223,Peter Pan and a cowboy fight. snakes came and indians. they had some birthday cake. it was the cowboy's birthday. Peter Pan fighted some more.
224,"Bad guys. Peter Pan. they fight. Robin Hood, a walking pillow came. and that's the end."
225,Black knights came. and then Peter Pan came. then Peter Pan falls down to the lobsters. the end.
226,the black knights are fighting. then Peter Pan came. and then a walking pillow came and a dragon. and that's the end.
227,Peter Pan. knights came with guns and shields. then Robin Hood came with a bow and arrow. then a rocking chair came. then a walking pillow came. the end.
228,a bad guy came with a gun and a shield. and then Robin Hood came with a bow and arrow. Peter Pan came with a sword. two black knights came with a shield and a gun. and a prince came. and then that's the end.
229,Peter Pan comes and fights. he fights the knights with swords and shields. then a walking pillow came. and a black knight came. they all fighted. and that's the end.
230,Bad guys came. a walking pillow came. then Robin Hood came with a bow and arrow. then Peter Pan came with a sword. then Superman came. they fighted. then that's the end.
231,Peter Pan. Peter Pan fighted. and knights fighted. and a walking pillow came. and a walking chair came. and that's the end.
232,"Robin Hood, Bad guy. and then a black knight came. and then a walking pillow came. that's the end. they fight."
233,then Robin Hood came. and a knight came. then a walking pillow came. and that's the end.
234,a dragon came. then a alligator came. then a knight came. then a black knight came. that's the end.
235,then Batman came. then Robin came. then Catwoman came. that's the end. they fighted.
236,then the knight came. then Robin Hood came. then the Batman came. then Joker came. then Joker died. and then they fighted. then that's the end.
237,once there was Robin Hood. then Joker died. then a black knight came and fighted. and then that's the end.
238,I want Robin Hood. then the bad guys came with a spear and two swords and all the horses. then Robin Hood comes to spear the bad guys. and then Captain Hook comes to get Robin Hood. then Peter Pan comes. then the bad guys come. Robin Hood fell in the woods. there was a scary monster that talked to him. but the bad guys talk to the scary monster.
239,big Robin Hood came to fight. once there was a knight. and then a Batman came. then Joker came and died. and then Cat Woman comes. then that's the end. then they killed him. that's the end.
240,once there was Peter Pan. and then a knight came. and Captain Hook. he fighted. and the knight and Peter Pan fighted. Cat Woman and Joker fighted too.
241,then ninja turtle came. then a black knight came. then Robin Hood came. and then they fighted. then a rabbit came. and then that's the end.
242,then Robin Hood came to fight. then a knight to fight. then Cat Woman came to die. then Joker dies again. then that's the end.
243,Peter Pan comes and fights. and then a knight comes and fights. then Captain Hook came. then the Sheriff came. then that's the end.
244,then Peter Pan come. and then Black Knight come. then Joker die because he fighted the Black Knight. then the Catwoman came. she fighted the Black Knight. and she died. then a walking pillow came. and the sheriff came. he fighted the Black Knight. and the sheriff died. the end.
245,then Superman comes. then a Superhero comes. then a pterodactyl comes. and then Vision comes. they fight eleven times. then a hippopotamus comes. then night time comes. they eat pizza. they fight twelve times. then they sleep again. and then they fight eleven times. and then Vision kills everyone of the superheroes except Superman and himself. the end.
246,then a Knight came. then Spiderman came. then Batman came. and then they fighted. then Catwoman came. then Joker came. and then a Buffalo came. and then that's the end.
247,then a knight with guns that shoot a lot. then a walking pillow came. then Joker came and Catwoman. then they died. there was two Catwomans. then the Catwoman came. then Spiderman came. and had a lot of webs. then Superman came. then they fighted. that's the end.
248,then a knight came. and Robin Hood came. and Catwoman came. then Joker came. they fighted because they did not like Catwoman and Joker. they liked Batman. they went home and ate pizza. the knight and Batman did not like Robin Hood's mean face. we'll fight you because of your face.
249,Peter Pan. he goes.
250,Peter Pan and Captain Hook. fight.
251,Peter Pan. Peter Pan fights with the crocodile. Captain Hook fights with Peter Pan.
252,"one bad man, one indian, one Spiderman. they eat pizza. they fight. the end."
253,"one indian, one Batman and one Spiderman, one bad guy. eat pizza."
254,"one indian, one Batman, one Ninja Turtle, one bad guy. they eat pizza. and fight. the end."
255,one indian and one bad guy and one crocodile. I want one Peter Pan. Peter Pan eats pizza. one Ninja Turtle. the end.
256,one crocodile and Peter Pan and bad guys. and there are walking pillows. the crocodile eat one indian. one indian eats pizza. and the Ninja Turtle eats pizza too.
257,"one bad guy and one indian, two Ninja Turtles and one crocodile. two Ninja Turtles eat pizza. one walking pillow and one walking chair. no more."
258,"one indian, one Ninja Turtle, one crocodile. fight. eat pizza. one Robin Hood. the end."
259,"one crocodile, one Batman and one indian. they fight an indian. an indian die. okay, the end."
260,"one indian and one Batman, one Flash, one Robin Hood. eat pizza. and one Ninja Turtle. they fight. Ninja Turtle kicks the Batman. another fight, crocodile, tigers and Aladdin. the end."
261,"one rocking chair, Aladdin, walking chair, two indians, two Ninja Turtles. fight, two fights. eat pizza. one Batman, one Spiderman. the end."
262,"Aladdin, one indian, one ninja, one tiger, one Batman. they fight. the indian fight the tiger. the tiger dies. eat pizza."
263,"one indian, one Batman, one Ninja Turtle, two bad guys, one tiger and one crocodile. they fight. and tiger dies. and then they fight another fight. and one good guy. and crocodile die. and they eat pizza. and fight again. the end."
264,one bad guy and one good guy. the two fight. two ninja turtles come. and one Superman comes. the two eat pizza.
265,"one indian and one Batman, one tiger and two crocodiles. they eat pizza. and they fight. two crocodiles died. another fight and another fight. Batman fight. the end."
266,one indian and nobody dies. one crocodile and six ninja turtles. they eat pizza. and then they fight. and another fight and another fight. I like fight. the indian eats more pizza.
267,one crocodile and two indians and two ninja turtles. they fight and another fight and another fight. then they sleep. and eat pizza. and one Batman. he fights. no more.
268,two ninja turtles and one indian and one Robin Hood and one Peter Pan and Spiderman. they fight and another fight and another fight. two crocodile come and one lion. they eat pizza. and then they have another fight.
269,five ninja turtles. they fight and another fight and another fight. they eat pizza. one crocodile comes. and there is another fight. Batman comes. and there is another fight. the crocodile dies.
270,"one crocodile, two ninja turtles, two bad guys, one indian. Indian go to fight. one Spiderman. Spiderman dies. Indian go to sleep. one Batman come. and fight with the indian. another sleep. eat pizza. and fight. the end."
271,one indian and two ninja turtles. and fight and another fight and another. and sleep and another sleep. and fight. and another sleep. and wake up. and fight. and eat pizza. and fight. the end.
272,"one indian, one lamp, one genie, one Aladdin. they fight. then Robin Hood is coming. Aladdin sleep. and two ninja turtles. they eat pizza. another eat pizza. Ninja turtles and Aladdin fight. Ninja turtles die. the end."
273,"one ninja turtle, two indians. one crocodile dies. he just slips. and Batman come. fight two ninja turtles. one ninja turtle die. another ninja turtle come. the end."
274,one Peter Pan fly to Neverland. Peter Pan and Captain Hook fight. throw to ocean. tik-tok tik-tok crocodile comes. and eats Captain Hook. two indians. the end.
275,"one Ninja Turtle, and one indian, and two Ninja Turtles. one Ninja Turtle die. another Ninja Turtle coming. and they fight. and another Ninja Turtle die. another Ninja Turtle come and fight. and a indian die. another indian come. and eat pizza. and sleep. the end."
276,one Peter Pan and one Robin Hood. they fight. Catwoman comes. she fights Robin Hood. and Catwoman dies. the end.
277,"one indian, two ninja turtles. Indian fight the ninja turtles. and one ninja turtle die. they sleep. eat pizza and another sleep. the end."
278,one ninja turtle. he eats pizza. then Batman comes. they sleep. and eat pizza. one bad guy fights the ninja turtle. the bad guy dies. eleven sleeps. the end.
279,one ninja fights the indian. but now indian dies. Batman fights the mummies. the end.
280,"one indian, one ninja turtle. the ninja die. another indian come. Ninja turtle fight the indian. and the indian die. one Spiderman and one Batman and one Superman. the end."
281,one Indian came. and fight the Ninja Turtles. and the end.
282,"one Ninja Turtle, Iceman. one Shredder cuts the Ninja Turtle. another Ninja Turtle fights the Iceman. one Catwoman die. the end."
283,"Indian, now Cobra Snake, and a Ninja Turtle. then Cobra Snake eat the Ninja Turtle. the end."
284,Aladdin. he goes to the secret tiger head. he got the lamp. Ninja Turtles fight Aladdin. he is sleeping. and a bad guy throws him into the sea.
285,the ninja's were at their house. bad guys came. the ninja's jumped up on the wall with their swords. and hanged there. and then they jumped down. and fight the bad guys.
286,pirates fight in the water. balloons came to pull them up from the water. but they fell down. the bad pirates fight. and Donatello wins.
287,Ninjas were at their home. there was a wall. and then a bad guy came. and crunched it down. and then they fighted. and that's the end.
288,Bad guys go to the river. and then the turtles came. and they fighted. and then they went back to their house. and then bad guys came to their house. and then they fighted again. and then they went up to bed. and sleeped. and then they got up. and went to breakfast. and it was pizza. and then it was the end. and then they went to sleep again.
289,pirates go to the river. and they fight. then a ninja came. and kicked one of the pirates into the river. and it made a big splash. and then they went back to their house. and fighted. and the pirates fighted with them.
290,"pirates go to the river. one, two bad guys fight Donatello. and he has a big stick. and he flips the bad guys over into the river. and they fall in the mud and the water. and then the ninjas go to their house. and the bad guys go with them. and they fight. and that's the end."
291,Bad guys go to the river. and then they went in. and chopped the ninja's house down. then a bad guy came in the door. and a ninja kicked the bad guy out of the door. and then they fighted. that's the end.
292,"they, the pirates, went to a house. and it was a beasties house. and then they opened the door. and they fighted. and ninja's lived with them. and then they fighted. and that's the end."
293,pirates go to the river. and then bad guys came. and kicked one into the water. and then they fighted. and Captain Hook fighted. and a ninja came. and fighted. and it's the end.
294,pirates went to the river. then a ninja kicks one into the river. and they fall a hundred deep. and then they fighted. and that's the end.
295,pirates go to the river. and then the bad guys came. and they fight. then they go to their house. and eat pizza. that's the end.
296,Ninjas came to the sewer. they fight. they fight with the Footsoldiers and Shredder and Bebop and Roc Steady. and that's all.
297,pirates go to the river. and then Ninjas come. and they fight. and then they go to the house. and have pizza. and that's the end.
298,pirates go to the river. then they went to a house. and then they crashed down the house. then ninjas were there. and then they fighted. and then they went to the Raphael Field. and then they fighted again. and then they went back to the sewer. that's the end.
299,pirates go to the river. and then they crash down an old house. then they went upstairs. and then a ninja was there. and the ninja kicked the pirates down the stairs. and they walked back up. and they fighted. and that's the end.
300,pirates go in the woods. and then they fight with the ninjas. they eat pizza at the sewers. and then Splinter comes. he's a good guy.
301,Bad guys go to the house. they went to their home. and ninjas got in there and they fighted. and when they fighted they were at a river. and the bad guys falled in. and all of them climbed out. and one fell in the mud. and he got all muddy. and he had to change in the bathroom.
302,Bad guys go to the river. and then ninjas come. and then they fighted with the sticks and everything. and that's the end.
303,Bad guys go to a house. then ninjas came. and they fight. and Shredder and Bebop came. and they fighted again. and then they fighted again. and Bebop and Roc Steady and Shredder died. all of the bad guys died. and then they eat pizza. and that's the end.
304,Ninjas. and then they fighted with bad Roc Steady and Bebop and Shredder. and then the ninjas went home and had pizza. and then Roc Steady and Bebop and Shredder came. and then they fighted again. That's all.
305,"Ninja turtles fight with Rock Steady, Bebop and Shredder. the Turtles pushed the bad guys in the river. then the bad guys climb out. and go to the battlefield. then they all fight at the battlefield."
306,"Ninjas fight with Rock Steady, Bebop and Shredder at the battlefield. they went to the sewers to eat pizza. that's all."
307,Ninja Turtles eat pizza. and then Bebop and Roc Steady and Shredder came. and then they all went to the battlefield. and they fighted. and then the Ninja Turtles pushed rocks on the bad guys. that's the end.
308,Ninja Turtles. Ninja Turtles eat pizza. then they fight with Roc Steady and Bebop and Shredder. and Shredder died. then he came back. and fighted again. and then he went to the battlefield. and fighted. then ate pizza. that's the end.
309,"once there were Ninja Turtles. they fighted Catwoman. they fighted Roc Steady, Bebop and Shredder. then they had some pizza. they went food shopping. they buyed the best food. and they buyed a birthday cake. they went back in the sewer. and went to bed. after their nap, they ate the cake. and then they had some ice cream. they liked it. they got more cake and ice cream."
310,my mama. I came. and then we drive to school. and then we play at the house. and then my mama goes to her class. and then I'm a baby.
311,Batman is here. he fights Catwoman and Joker and the bad captain and the bad maties. they go down in their submarine. then Batman goes back in the Batmobile to the Batcave. they fight again. Batman wins. and Robin wins because Robin knows karate chops.
312,Superman fights Lex Luther. then the Flash came. and fighted with Superman. Batman came and fighted. and tied his utility belt around the bad guy. it's the end.
313,Superman fights Lex Luther. and then the Flash comes. and kicks Lex Luther in the face because Lex Luther was doing bad things to the city. the end.
314,"Ninja Turtles fight Roc Steady, Bebop and Shredder. and then they go home to the sewers. and eat pizza. and then they eat cake and ice cream. the end."
315,Batman fights Joker and Catwoman and Penguin and Riddler. then they fight again. and that's the end.
316,Ninjas eat pizza. then they fight Rock Steady and Bebop and Shredder. and then they fight again. and then Shredder dies. and then he turns into Super Shredder. and gets back alive. that's the end.
317,Ninja Turtles fight Shredder and Bebop and Rock Steady. then they eat pizza. then they fight again. then they go down to the sewer. and fight Crang. that's the end.
318,"Ninja Turtles fight Rock Steady, Bebop and Shredder. then the ninja turtles go into the sewer. and eat pizza. then they fight again. then Shredder turns into Super Shredder. the end."
319,Ninja turtles fight Rock Steady and Bebop and Super Shredder and plain Shredder. they fight one more time. they eat pizza in the sewers. and then they fight again. they rest. now it's the end.
320,"Peter Pan fights the maties of Captain Hook. then all of them, even Captain Hook, eats ice cream and cake. they are not really friends."
321,my mama marries Rick. and then she bore me. that's the end.
322,"Ninja's fight Rock Steady, Bebop, Shredder and the Foot Soldiers. and then after a long fight, they eat pizza. only the ninja turtles eat pizza. that's the end. and then they went to sleep. and had ice cream and cake. and then they had cookies too, chocolate chip cookies."
323,Batman and Robin fights the Joker. and then Cyclops. Cyclops is a superhero too. and there's a button on his back. and when you push it his eyes light up. and then the Flash comes. and Spiderman sprays his webs at the bad guys. that's the end.
324,"Robin Hood and Little John walk in the forest. they splashed into the water. the Sheriff and his Soldiers came. and Robin Hood stuck up his hat. and the Sheriff shot an arrow in his hat. and they jumped into a tree. Robin Hood pulled his bow and arrow out of his hat. Robin Hood saw the King. then they tricked the King with a costume on. and they stealed the gold for the poor. then the Sheriff of Nottingham stole some gold for Prince John from the Little Bunny. Robin Hood gave the Little Bunny his bow and arrow and his hat. then the Little Bunny went to try it out. and shot it into Prince John's yard. and Maid Marion got the bow and arrow. and the Little Bunny said "". Oh no. that's all. then Robin Hood and Maid Marion get married."
325,first Shredder came. he made a new invention that shoots the rays out of the invention. the rays go very slow. and they can pull anything towards it. the ninja turtles came in. and they had a battle. then Shredder went to the battlefield. he had a new car. the ninja turtles stopped him. the ninja's won the fight.
326,"first the ninja turtles go to the battle. then Shredder comes. and they have a battle. then Roc Steady and Bebop come. but they were funny, cause they crashed into each other. then Shredder left. and Bebop and Roc Steady had a battle. and then the turtles went to the sewers. and then they had pizza. and Shredder came to the sewers. and had a battle. and Roc Steady and Bebop were there. and Roc Steady's horn was stuck to the side of the ceiling. then Shredder went to the Technodrome. and he died there because the turtles had a battle with him."
327,there was the Planeteers. but then the bad guys came. then the Planeteers sended all their rings together. some of the bad guys were animals. one is a pg. he is trying to pollute the world. then the Planeteers stop him.
328,Slash comes. and he goes to the river to cool him off. but the ninja turtles stopped him. and then Superman came. Spiderman comes with Superman. then Spiderman and Superman got in a fight with the turtles. then Bebop and Roc Steady come. then Crane comes. then the ninja turtles go to their home. and have pizza. then the ninja turtles come again. and they fight Bebop and Roc Steady. then the ninja turtles go to the battlefield. and they get their van. the ninja turtles go to sleep.
329,the mosquito story. then one mosquito went to his home. he lives there. after this is the end. it's a very short story.
330,it's gonna be Ninja Turtles. first Raphael is at his home eating pizza. and then Leonardo comes. and then the other ninja turtles came. and then Bebop and Roc Steady. and then Shredder and Crane came to the sewers. and then they fighted. and then they went to the battlefield. they fighted there at the battlefield. then all of them went to sleep. and that's the end.
331,a story about Ninja Turtles. first there was Leonardo. and then Donatello came to help Leonardo fight. and then Raphael came. and Michaelangelo came also to help Donatello fight. and then Shredder came. and then Captain America fighted. and then Super Wren came. and Super Wren helped Donatello to fight using his powers. and then they rest. and then Shredder and Super Wren are the only ones there. and they fight. and then that's the end.
332,first Shredder came. then Super Wren came. and then Leonardo came. and then Raphael came. and then Donatello came. and they fighted. it was a long fight. and then they rested. and then they fighted again. then they had a sleepover. and then they fighted again. Spiderman and another Super Wren came. the end.
333,Leonardo and Raphael came to the sewers. and then Donatello came. and Super Wren came. and then three more Super Wrens come. and then Shredder comes. they all fighted. and it's a long fight. and then they fight again. and then they fight four more times. then Super Wren goes away to a different part in the sewers. and he fights Bebop and Rock Steady. then all of them have a birthday party. and they are all happy.
334,"first there were ninja turtles. then the Stone Protectors came. and the Battle Trolls came. and Superman and Super Wren came. they all fighted. and then they fight again and again. after three more fights, there is a birthday party. it is Super Wren's birthday. he got all kinds of weapons for presents. and the Stone Cutters gave him all kinds of stones. the Battle Trolls gave him all kinds of fighting clothes."
335,"Ninja Turtles. walking trees come with faces and arms and hand. and then Super Wren comes. he fights Shredder because Shredder wanted to take all the Super Wren's power. but he didn't. and then the Stone Protectors came. and then the Battle Trolls came. and then the ninja turtles came. they all fight. and then they fight again. after five fights, they have two birthday parties. and then Shredder dies. he comes back alive as Super Shredder. and then Super Wren fights him with his powers. the end."
336,"it's about super heroes. first Super Wren came. then Vision came. and then Walking Trees, and Walking Walls, and Walking Pictures came. and then a princess came. and then Shredder and Bebop and Rock Steady came. then Crang came. he's an alien whose called Crang. and he lost his body when he's executed to earth. and then Super Wren and Vision came. and then Batman and Robin came. and they fight. and after ten more fights, they have ten birthday parties. and then eleven more fights. and then that's the end."
337,"first there was a giant mouse. Spiderman who can turn into a vision. and then Shredder came. and then Superwren came. and Leonardo came. and two bad guys came. they fighted. and after eleven more fights, they have eleven birthdays. and then eleven more birthdays. then they have one more of eleven fights. that's the end."
338,once there was a tarantula. and then Vision came. and the devil from Fantasia came. they had three of eleven fights with the bad guys. Vision killed all the bad guys except the devil. the devil from Fantasia escaped. the devil went back into night time. and he turned himself back into the mountain.
339,first Vision came. and then Tarantula came. eleven more Visions came. and an alligator came. they had three of eleven fights and the eleven Visions. and the one Vision killed all the bad guys except Jaws.
340,first there was Superman. then Vision came. then eleven more Visions came. then eleven Shredders came. then they fight. and they have eleven fights. then they eat pizza. then they have three more fights. then the bad guys die. and then two robbers came. Superman and Vision fight the robbers. the robbers die. and Vision and Superman rest. that's the end.
341,Superheroes fight a living volcano with a few Shredders. the superheroes are Vision and Superman. the volcano chases Vision and Superman. but Superman looks inside the volcano. and he tells Vision to use his powers on the volcano so the volcano can explode.
342,then Superman comes. then a Superhero comes. then a pterodactyl comes. and then Vision comes. they fight eleven times. then a hippopotamus comes. then night time comes. they eat pizza. they fight twelve times. then they sleep again. and then they fight eleven times. and then Vision kills everyone of the superheroes except Superman and himself. the end.
343,first Vision came. then Spiderman came. Spiderman spreaded a web over a bad guy. then Vision used a power. and knocked the bad guy into the water of the pond. then eleven bad guys and eleven Visions and eleven Spidermen came. and they fight with eleven fights. and then there's eleven birthdays. that's the end.
344,first there was a tarantula. then Spiderman tamed the tarantula. then the bad guys. there's eleven bad guys. then Spiderman makes himself turn into eleven Spidermen. and they fight eleven fights. then eleven birthdays. and eleven fights again. and eleven fights again. and then there's a birthday for all the characters. that's the end.
345,"once there was Night_on_Bald_Mountain. next there was hundreds and hundreds and hundreds of Spidermen. then the Mountain shook with lightning. and then Batman and Robin came. then the whole big Mountain turned into the Black Devil. then all of the Ninja Turtles and Splinter came, before the fight. the Black Devil of Fantasia called his hideous monsters. and then they fight with eleven fights. then it was getting to be morning. then it was getting to be more of the eleven fights. then it was morning. then all of the Black Devil and his hideous monsters vanished back into the night. and there's eleven birthdays for all of the characters. then the Black Devil made the lightning and fire mix together. and then it was morning, so he wrapped his wings around himself. and turned back into the Mountain. and that's the end."
346,"first there were walking houses. then walking trees came. they said "". hello. they were friends. then Vision and Spiderman came. then Dracula and the Devil from Fantasia came. and then they fight with one hundred and eleven fights. then eleven fights again. and that's the end."
347,first there was Jaws the Shark. then there was Spiderman. then the Phantom came from the Phantom of the Opera. they fight and Spiderman makes a web. and throws it over one of the Bad Guys but not Jaws. then Jaws dunked his head under water. and sailed away. that's the end. Jaws escaped.
348,"once there was a family. then the family went out. and a robber came. and stole all of the family's things. then a bad guy came. and kicked him. then Count Dracula setted. then the robber went back to his house. the Wolfman came. and he set up a trap. another Count Dracula setted another trap. then Count Dracula tried to spook out all of the spooks. then a bad guy came. and he blowed off the family's head. then Count Dracula went back up to his castle with his bats. then Spiderman came. and trapped all of the bad guys and Count Dracula in his webs. then General Trag came. and killed them again. then all of the bad guys escaped. and then all the bad guys killed all the good guys. then another Spiderman came. and trapped all the bad guys except two, Count Dracula and his bats and Wolfman. and then there's a birthday party for all the characters. Count Dracula and the bats and Wolfman had blood juice. the end."
349,"first there was dinosaurs. then Tyrannosaurs Rex came. and Spiderman fought him off. then Spiderman fought all the other dinosaurs off in a big fight. then Spiderman took a rest. then Spiderman woke up. then he fighted the bad guys away with a very giant big fight. the bad guys died. but more bad guys came. and a robber came. they fighted a giant, giant, giant, giant, giant, big fight. then Spiderman said "". Yahooh! because he flew in the air with a flip in the air."
350,the teenage mutant ninja turtles came. they came with Master Splinter. then Slash came to the battlefield. then Roc Steady and Bebop came. then the footsoldiers came. and then the footsoldiers got bashed. then Shredder came. and he died. and then Super Shredder came. and he threw the turtles in the water. and they didn't know how to swim.
351,the turtles came to the battlefield. Slash came. then the footsoldiers came. they fighted. and then the footsoldiers got crunched. then plain Shredder came. and he died. then Super Shredder came. and he picked the turtles up. and threw them in the water. and they didn't know how to swim.
352,the Nuchino's and the Ninja's came to the battlefield. Slash came. Batman came. Slash tried to get Batman. Batman shooted his rope out of his special gun. and he hanged on the bar. and jumped down. and kicked Slash into the water.
353,"the Teenaged Mutant Ninja turtles come to the battlefield. then Batman comes. then Slash comes and Bebop and Roc Steady. and they bumped heads. and then Batman came. and he kicked Slash into the water. and he didn't know how to swim. byebye, Slash. and then he died."
354,once there was an ant. then a tarantula came. and then all these animals were trying to kill tarantula. and the animals in the whole wide world were trying to kill tarantula. but then the tarantula ate them all up. and then the tarantula was still skinny.
355,once Super Shredder came. and then skull armored Captain Hook came. then vampires came. then Rasp came. then they all fighted. then Rasp jumped on one of the vampires. that's the end. the vampire that gets jumped on turns into a ghost.
356,once there was Super Shredder. and then came a tarantula. and then they all fighted with the good guys. and then they ate pizza. and that's the end.
357,once there was the Teenage Mutant Ninja Turtles. then Shredder and his Footsoldiers and Bebop and Roc Steady came. and then plain Shredder turned into Super Shredder. and that's the end.
358,once there was Hothead. he can blow fire. he never dies. and he can never get strangled or choked. he can stretch his neck. and he has horns. the turtles came in. and they started fighting. and all the turtles died because Hothead won the battle.
359,"once there was a snake necked turtle. and he ate up a whole lot. he ate three oranges, two butterflies and two pears. he was stuffed. and went into the water."
360,once there was a tarantula. and then his friend came. he was a brontosaurus. then the bad guy came. and the brontosaurus fighted the bad guy. the tarantula builded a spider web. and the bad guy died.
361,this guy came. and he fighted with the bad guy. and the bad guy won. he was the Phantom of the Opera. he went back to his castle. and he sitted in his secret chair.
362,once there was a cave. in that cave lived a tarantula. and then a dragon came. the dragon broke the cave. the tarantula came out. and fighted the dragon. and then the dragon died because the tarantula won the battle. the tarantula got a new cave. and that's all.
363,once there was a spider. then there was a tarantula. then a brontosaurus came. and then an alligator came. so they went swimming. and this happened in Florida in the Everglades.
364,once there was Darth Vader. and then Luke came. and then Luke and Vader fighted with their light sabers. and Luke dies in the fight. and that's the end.
365,once there was a tarantula and a brontosaurus. and then there was a bad guy. they fighted. the tarantula bit the bad guy. and the bad guy died. the brontosaurus went home with the tarantula.
366,once there was an alligator. and then there was a giant squid. the giant squid grabbed the alligator. and the alligator bit the giant squid. but the squid didn't die. then a bad giant squid came. and then the alligator and the bad giant squid fighted. and the bad squid died.
